
 1.00764402598408e-002    2.54041197294785e-002
 1.79913473071096e-002    4.62701494972397e-002
 2.59177344245515e-002    6.26079293634319e-002
 3.24023340622672e-002    7.62221992485839e-002
 3.93652335125237e-002    9.16499557743963e-002
 4.70478786956259e-002    1.08892292280886e-001
 5.52111197053036e-002    1.27042465447722e-001
 6.52875599651443e-002    1.52446585177201e-001
 7.56077421593247e-002    1.76946148266382e-001
 8.66430780582816e-002    2.05071591296868e-001
 9.55260648008050e-002    2.25036344444381e-001
 1.02967264063602e-001    2.42277587610854e-001
 1.10167017406095e-001    2.59517737437311e-001
 1.17125324828282e-001    2.76756793923751e-001
 1.22887882719117e-001    2.89462133808539e-001
 1.28169844783377e-001    3.01259637032981e-001
 1.33932402674213e-001    3.13964976917770e-001
 1.41120675946532e-001    3.35733376645796e-001
 1.49042471035904e-001    3.53882456472615e-001
 1.56959674097208e-001    3.73842836260063e-001
 1.65357472985087e-001    3.94711052707857e-001
 1.72313484393239e-001    4.12855759174611e-001
 1.78788899974817e-001    4.30092628981018e-001
 1.84537681781444e-001    4.48231868747690e-001
 1.91512061301874e-001    4.59131375371933e-001
 2.00388160002294e-001    4.81813078460388e-001
 2.07587913344786e-001    4.99053228286844e-001
 2.13109025315316e-001    5.11757474831616e-001
 2.21026228376620e-001    5.31717854619064e-001
 2.27745385892537e-001    5.48050167785174e-001
 2.37352710395975e-001    5.68018200952737e-001
 2.43345234136942e-001    5.85252884079111e-001
 2.51020991277941e-001    6.05212170526542e-001
 2.60136239884631e-001    6.28800616935327e-001
 2.68538630800579e-001    6.47857533422493e-001
 2.75492346194697e-001    6.66907889869561e-001
 2.82441469560746e-001    6.87769546277256e-001
 2.91087602411033e-001    7.05921906124125e-001
 2.99246251392642e-001    7.25883379251589e-001
 3.07381940233904e-001    7.54901352182191e-001
 3.15770555065645e-001    7.79392168551241e-001
 3.28739754341076e-001    8.06620708321544e-001
 3.37378999149260e-001    8.27490018109355e-001
 3.46004467873236e-001    8.53793227779049e-001
 3.56078612119042e-001    8.80102997488841e-001
 3.65913606458578e-001    9.05506023878303e-001
 3.74306813318388e-001    9.28185540286725e-001
 3.82226312393726e-001    9.47240270093858e-001
 3.89423769722183e-001    9.65386069900629e-001
 3.96851192900773e-001    9.88061212948985e-001
 4.04278616079363e-001    1.01073635599734e+000
 4.12924748929650e-001    1.02888871584421e+000
 4.17951488989398e-001    1.04611902561052e+000
 4.28273967197613e-001    1.06971293871939e+000
 4.36917804033866e-001    1.08877094854657e+000
 4.43625481479610e-001    1.10963151161425e+000
 4.55375971083343e-001    1.14138283458604e+000
 4.69508775693642e-001    1.18582419068239e+000
 4.80058923737955e-001    1.21485309701315e+000
 4.90613663810336e-001    1.24207070338329e+000
 5.04284240706336e-001    1.27835902297678e+000
 5.12672855538077e-001    1.30284983934583e+000
 5.25609910617024e-001    1.34275747884053e+000
 5.35435720900421e-001    1.37178310515125e+000
 5.45491497033951e-001    1.40533807470355e+000
 5.56287683026637e-001    1.43255677441371e+000
 5.62986176416243e-001    1.45703993740264e+000
 5.76891311190444e-001    1.49604630027709e+000
 5.87206901356556e-001    1.52235716332690e+000
 5.98483683175817e-001    1.55048369969740e+000
 6.07095375815586e-001    1.58222080924898e+000
 6.18353789522571e-001    1.61759254546199e+000
 6.25769732630988e-001    1.64479593841191e+000
 6.35827804778552e-001    1.67744525798390e+000
 6.47325368391807e-001    1.71372373751725e+000
 6.57141994619066e-001    1.74637196374922e+000
 6.66480321033785e-001    1.77720670334053e+000
 6.76060093368808e-001    1.80804253627186e+000
 6.84683266078749e-001    1.83525139592187e+000
 6.94493004263905e-001    1.87061657209478e+000
 7.06461979647597e-001    1.91142548820973e+000
 7.16517755781126e-001    1.94498045776203e+000
 7.25343342172785e-001    1.98758646041739e+000
 7.46406902036856e-001    2.06013467276394e+000
 7.62441425827145e-001    2.11635822532450e+000
 7.76289160250482e-001    2.17800583770679e+000
 7.87044017990545e-001    2.22152623706260e+000
 7.99709778966738e-001    2.27320623296136e+000
 8.09747186987990e-001    2.31400640235617e+000
 8.18112841679385e-001    2.34755371852836e+000
 8.30746458459093e-001    2.41191281415151e+000
 8.42216469903933e-001    2.45905909344862e+000
 8.49354230867491e-001    2.50075179274355e+000
 8.56747213835562e-001    2.53701168549661e+000
 8.63413563028683e-001    2.57417394820994e+000
 8.69836170287465e-001    2.61224076756357e+000
 8.77955787030485e-001    2.64759829035636e+000
 8.81494819329814e-001    2.68021808974791e+000
 8.88402614443240e-001    2.71738144580125e+000
 8.95094219790742e-001    2.74458155873113e+000
 9.00295821363791e-001    2.78807681126655e+000
 9.05982610791485e-001    2.83066860050170e+000
 9.12607631731983e-001    2.88413256286067e+000
 9.18528979037878e-001    2.92944239537678e+000
 9.22063419309138e-001    2.96387349472895e+000
 9.27469730577938e-001    3.02186024028941e+000
 9.34356861565053e-001    3.06717444616558e+000
 9.41239400524099e-001    3.11429995200237e+000
 9.43299909119148e-001    3.15868664109790e+000
 9.48963738406496e-001    3.21033493013618e+000
 9.53392785923903e-001    3.27284555223815e+000
 9.58095423558100e-001    3.32267816795573e+000
 9.63927226316646e-001    3.40330834970408e+000
 9.67169708358840e-001    3.45766265528313e+000
 9.70184520564936e-001    3.50658196764029e+000
 9.74576831857790e-001    3.58358298942728e+000
 9.77306573876924e-001    3.64970855807039e+000
 9.80532983820876e-001    3.71040241351164e+000
 9.83538611970834e-001    3.76294432579006e+000
 9.84385002922255e-001    3.81004249812644e+000
 9.85716581728320e-001    3.85623720716254e+000
